College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website,Course_Category,Affordability_Score,Quality_Score,Overall_Score,Affordability_Tier,Quality_Tier,Ranking_Tier
Vishnu Institute of Technology,CIVIL ENGINEERING,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n,Civil Engineering,50.24909090909091,45.1,47.2,Moderate,Average,Not Ranked
Ramachandra College of Engineering,CIVIL ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0.0,,Private,No,No,www.rcee.ac.in,Civil Engineering,69.7,20.0,39.9,Affordable,Below Average,Not Ranked
Vindhya Institute of Technology and Science,CIVIL ENGINEERING,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0.0,,Private,No,No,www.bvcits.ac.in,Civil Engineering,73.92923076923077,20.0,41.6,Affordable,Below Average,Not Ranked
Vignan's Lara Institute of Technology and Science,CIVIL ENGINEERING,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0.0,,Private,No,No,www.vignanlara. org,Civil Engineering,51.78181818181818,20.0,32.7,Moderate,Below Average,Not Ranked
Srinivasa Institute of Engineering and Technology,CIVIL ENGINEERING,Amalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",102769.23076923077,0.0,,Private,No,No,www.sriniet.edu.i n,Civil Engineering,79.44615384615385,20.0,43.8,Affordable,Below Average,Not Ranked
Ramireddy Subbarami Reddy Engineering College,CIVIL ENGINEERING,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0.0,,Private,No,No,www.rsrec.in,Civil Engineering,69.36666666666667,20.0,39.7,Affordable,Below Average,Not Ranked
Gayatri Vidya Parishad College for Degree and PG Courses,CIVIL ENGINEERING,Visakhapatnam,Andhra Pradesh,"Andhra University, Visakhapatnam",201666.66666666663,0.0,,Private,No,No,www.gvpcdpgc.e du.in/,Civil Engineering,59.66666666666667,20.0,35.9,Moderate,Below Average,Not Ranked
Chalapathi Institute of Engineering and Technology,CIVIL ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0.0,,Private,No,No,"www.chalapathie
 ngg.a",Civil Engineering,62.0,20.0,36.8,Affordable,Below Average,Not Ranked
Geethanjali Institute of Science and Technology,CIVIL ENGINEERING,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0.0,,Private,No,No,www.gist.edu.in,Civil Engineering,67.91111111111111,20.0,39.2,Affordable,Below Average,Not Ranked
Pragati Engineering College,CIVIL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",217714.2857142857,3.08,,Private - Autonomous,No,No,www.pragati.ac.i n,Civil Engineering,56.457142857142856,40.8,47.1,Moderate,Average,Not Ranked
Srinivasa Ramanujan Institute of Technology,CIVIL ENGINEERING,Chedulla,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",170625.0,3.02,,Private,No,No,www.srit.ac.in,Civil Engineering,65.875,40.2,50.5,Affordable,Average,Not Ranked
NRI Institute of Technology,CIVIL ENGINEERING,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0.0,,Private,No,No,www.nrigroupofc olleg,Civil Engineering,66.26666666666667,20.0,38.5,Affordable,Below Average,Not Ranked
Dhanekula Institute of Engineering and Technology,CIVIL ENGINEERING,Gangur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",141981.81818181818,0.0,,Private,No,No,www.diet.ac.in,Civil Engineering,71.60363636363637,20.0,40.6,Affordable,Below Average,Not Ranked
Aditya Engineering College,CIVIL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0.0,,Private - Autonomous,No,No,www.aec.edu.in,Civil Engineering,67.312,20.0,38.9,Affordable,Below Average,Not Ranked
PACE Institute of Technology and Sciences,CIVIL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0.0,,Private,No,No,www.pace.ac.in,Civil Engineering,69.8375,20.0,39.9,Affordable,Below Average,Not Ranked
Sri Venkateswara College of Engineering and Technology,CIVIL ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g,Civil Engineering,63.07411764705883,20.0,37.2,Affordable,Below Average,Not Ranked
Sagi Ramakrishnam Raju Engineering College,CIVIL ENGINEERING,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in,Civil Engineering,49.26666666666667,46.0,47.3,Moderate,Average,Not Ranked
Gayatri Vidya Parishad College for Degree and PG Courses,COMPUTER SCIENCE & ENGINEERING,Visakhapatnam,Andhra Pradesh,"Andhra University, Visakhapatnam",201666.66666666663,0.0,,Private,No,No,www.gvpcdpgc.e du.in/,Computer Science & IT,59.66666666666667,20.0,35.9,Moderate,Below Average,Not Ranked
Pragati Engineering College,COMPUTER SCIENCE & ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",217714.2857142857,3.08,,Private - Autonomous,No,No,www.pragati.ac.i n,Computer Science & IT,56.457142857142856,40.8,47.1,Moderate,Average,Not Ranked
Dhanekula Institute of Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,Gangur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",141981.81818181818,0.0,,Private,No,No,www.diet.ac.in,Computer Science & IT,71.60363636363637,20.0,40.6,Affordable,Below Average,Not Ranked
Lendi Institute of Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,Jonnada,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",192888.88888888888,3.02,,Private,No,No,www.lendi.org,Computer Science & IT,61.422222222222224,40.2,48.7,Affordable,Average,Not Ranked
Vishnu Institute of Technology,COMPUTER SCIENCE & ENGINEERING,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n,Computer Science & IT,50.24909090909091,45.1,47.2,Moderate,Average,Not Ranked
NRI Institute of Technology,COMPUTER SCIENCE & ENGINEERING,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0.0,,Private,No,No,www.nrigroupofc olleg,Computer Science & IT,66.26666666666667,20.0,38.5,Affordable,Below Average,Not Ranked
Geethanjali Institute of Science and Technology,COMPUTER SCIENCE AND ENGINEERING,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0.0,,Private,No,No,www.gist.edu.in,Computer Science & IT,67.91111111111111,20.0,39.2,Affordable,Below Average,Not Ranked
Aditya College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in,Computer Science & IT,69.9,20.0,40.0,Affordable,Below Average,Not Ranked
RISE Krishna Sai Gandhi Group of Institutions,COMPUTER SCIENCE AND ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",117250.0,0.0,,Private,No,No,www.risegroup.e du.in,Computer Science & IT,76.55,20.0,42.6,Affordable,Below Average,Not Ranked
RISE Krishna Sai Prakasam Group of Institutions,COMPUTER SCIENCE AND ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0.0,,Private,No,No,www.risegroup.e du.in,Computer Science & IT,76.35714285714286,20.0,42.5,Affordable,Below Average,Not Ranked
Krishna Chaitanya Institute of Technology and Sciences,COMPUTER SCIENCE AND ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0.0,,Private,No,No,www.kits- anna.com,Computer Science & IT,70.2,20.0,40.1,Affordable,Below Average,Not Ranked
Srinivasa Ramanujan Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Chedulla,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",170625.0,3.02,,Private,No,No,www.srit.ac.in,Computer Science & IT,65.875,40.2,50.5,Affordable,Average,Not Ranked
Ramachandra College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0.0,,Private,No,No,www.rcee.ac.in,Computer Science & IT,69.7,20.0,39.9,Affordable,Below Average,Not Ranked
Vindhya Institute of Technology and Science,COMPUTER SCIENCE AND ENGINEERING,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0.0,,Private,No,No,www.bvcits.ac.in,Computer Science & IT,73.92923076923077,20.0,41.6,Affordable,Below Average,Not Ranked
Srinivasa Institute of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Amalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",102769.23076923077,0.0,,Private,No,No,www.sriniet.edu.i n,Computer Science & IT,79.44615384615385,20.0,43.8,Affordable,Below Average,Not Ranked
Ramireddy Subbarami Reddy Engineering College,COMPUTER SCIENCE AND ENGINEERING,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0.0,,Private,No,No,www.rsrec.in,Computer Science & IT,69.36666666666667,20.0,39.7,Affordable,Below Average,Not Ranked
Gayatri Vidya Parishad College of Engineering for Women,COMPUTER SCIENCE AND ENGINEERING,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0.0,,Private,No,No,www.gvpcew.ac.i n,Computer Science & IT,33.980000000000004,20.0,25.6,Premium,Below Average,Not Ranked
Chalapathi Institute of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0.0,,Private,No,No,"www.chalapathie
 ngg.a",Computer Science & IT,62.0,20.0,36.8,Affordable,Below Average,Not Ranked
PACE Institute of Technology and Sciences,COMPUTER SCIENCE AND ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0.0,,Private,No,No,www.pace.ac.in,Computer Science & IT,69.8375,20.0,39.9,Affordable,Below Average,Not Ranked
PES College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in",Computer Science & IT,74.425,20.0,41.8,Affordable,Below Average,Not Ranked
Sri Venkateswara College of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g,Computer Science & IT,63.07411764705883,20.0,37.2,Affordable,Below Average,Not Ranked
Vignan's Lara Institute of Technology and Science,COMPUTER SCIENCE AND ENGINEERING,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0.0,,Private,No,No,www.vignanlara. org,Computer Science & IT,51.78181818181818,20.0,32.7,Moderate,Below Average,Not Ranked
Aditya Engineering College,COMPUTER SCIENCE AND ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0.0,,Private - Autonomous,No,No,www.aec.edu.in,Computer Science & IT,67.312,20.0,38.9,Affordable,Below Average,Not Ranked
Sri Vasavi Engineering College,COMPUTER SCIENCE AND ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac,Computer Science & IT,69.6470588235294,41.8,52.9,Affordable,Average,Not Ranked
Sagi Ramakrishnam Raju Engineering College,COMPUTER SCIENCE AND ENGINEERING,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in,Computer Science & IT,49.26666666666667,46.0,47.3,Moderate,Average,Not Ranked
Geethanjali Institute of Science and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0.0,,Private,No,No,www.gist.edu.in,Electronics & Communication,67.91111111111111,20.0,39.2,Affordable,Below Average,Not Ranked
Aditya College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in,Electronics & Communication,69.9,20.0,40.0,Affordable,Below Average,Not Ranked
RISE Krishna Sai Prakasam Group of Institutions,ELECTRICAL AND ELECTRONICS ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0.0,,Private,No,No,www.risegroup.e du.in,Electronics & Communication,76.35714285714286,20.0,42.5,Affordable,Below Average,Not Ranked
Krishna Chaitanya Institute of Technology and Sciences,ELECTRICAL AND ELECTRONICS ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0.0,,Private,No,No,www.kits- anna.com,Electronics & Communication,70.2,20.0,40.1,Affordable,Below Average,Not Ranked
Sri Venkateswara College of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g,Electronics & Communication,63.07411764705883,20.0,37.2,Affordable,Below Average,Not Ranked
Srinivasa Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Amalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",102769.23076923077,0.0,,Private,No,No,www.sriniet.edu.i n,Electronics & Communication,79.44615384615385,20.0,43.8,Affordable,Below Average,Not Ranked
Ramireddy Subbarami Reddy Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0.0,,Private,No,No,www.rsrec.in,Electronics & Communication,69.36666666666667,20.0,39.7,Affordable,Below Average,Not Ranked
Gayatri Vidya Parishad College of Engineering for Women,ELECTRICAL AND ELECTRONICS ENGINEERING,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0.0,,Private,No,No,www.gvpcew.ac.i n,Electronics & Communication,33.980000000000004,20.0,25.6,Premium,Below Average,Not Ranked
NRI Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0.0,,Private,No,No,www.nrigroupofc olleg,Electronics & Communication,66.26666666666667,20.0,38.5,Affordable,Below Average,Not Ranked
Dhanekula Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Gangur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",141981.81818181818,0.0,,Private,No,No,www.diet.ac.in,Electronics & Communication,71.60363636363637,20.0,40.6,Affordable,Below Average,Not Ranked
Chalapathi Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0.0,,Private,No,No,"www.chalapathie
 ngg.a",Electronics & Communication,62.0,20.0,36.8,Affordable,Below Average,Not Ranked
Sri Vasavi Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac,Electronics & Communication,69.6470588235294,41.8,52.9,Affordable,Average,Not Ranked
PACE Institute of Technology and Sciences,ELECTRICAL AND ELECTRONICS ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0.0,,Private,No,No,www.pace.ac.in,Electronics & Communication,69.8375,20.0,39.9,Affordable,Below Average,Not Ranked
Pragati Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",217714.2857142857,3.08,,Private - Autonomous,No,No,www.pragati.ac.i n,Electronics & Communication,56.457142857142856,40.8,47.1,Moderate,Average,Not Ranked
Lendi Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Jonnada,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",192888.88888888888,3.02,,Private,No,No,www.lendi.org,Electronics & Communication,61.422222222222224,40.2,48.7,Affordable,Average,Not Ranked
Vishnu Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n,Electronics & Communication,50.24909090909091,45.1,47.2,Moderate,Average,Not Ranked
Srinivasa Ramanujan Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Chedulla,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",170625.0,3.02,,Private,No,No,www.srit.ac.in,Electronics & Communication,65.875,40.2,50.5,Affordable,Average,Not Ranked
Ramachandra College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0.0,,Private,No,No,www.rcee.ac.in,Electronics & Communication,69.7,20.0,39.9,Affordable,Below Average,Not Ranked
Vindhya Institute of Technology and Science,ELECTRICAL AND ELECTRONICS ENGINEERING,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0.0,,Private,No,No,www.bvcits.ac.in,Electronics & Communication,73.92923076923077,20.0,41.6,Affordable,Below Average,Not Ranked
Vignan's Lara Institute of Technology and Science,ELECTRICAL AND ELECTRONICS ENGINEERING,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0.0,,Private,No,No,www.vignanlara. org,Electronics & Communication,51.78181818181818,20.0,32.7,Moderate,Below Average,Not Ranked
Aditya Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0.0,,Private - Autonomous,No,No,www.aec.edu.in,Electronics & Communication,67.312,20.0,38.9,Affordable,Below Average,Not Ranked
PES College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in",Electronics & Communication,74.425,20.0,41.8,Affordable,Below Average,Not Ranked
Sagi Ramakrishnam Raju Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in,Electronics & Communication,49.26666666666667,46.0,47.3,Moderate,Average,Not Ranked
Gayatri Vidya Parishad College for Degree and PG Courses,ELECTRONICS & COMMUNICATION ENGG,Visakhapatnam,Andhra Pradesh,"Andhra University, Visakhapatnam",201666.66666666663,0.0,,Private,No,No,www.gvpcdpgc.e du.in/,Electronics & Communication,59.66666666666667,20.0,35.9,Moderate,Below Average,Not Ranked
RISE Krishna Sai Gandhi Group of Institutions,ELECTRONICS & COMMUNICATION ENGG,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",117250.0,0.0,,Private,No,No,www.risegroup.e du.in,Electronics & Communication,76.55,20.0,42.6,Affordable,Below Average,Not Ranked
RISE Krishna Sai Prakasam Group of Institutions,ELECTRONICS & COMMUNICATION ENGG,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0.0,,Private,No,No,www.risegroup.e du.in,Electronics & Communication,76.35714285714286,20.0,42.5,Affordable,Below Average,Not Ranked
Krishna Chaitanya Institute of Technology and Sciences,ELECTRONICS & COMMUNICATION ENGG,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0.0,,Private,No,No,www.kits- anna.com,Electronics & Communication,70.2,20.0,40.1,Affordable,Below Average,Not Ranked
Vindhya Institute of Technology and Science,ELECTRONICS & COMMUNICATION ENGG,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0.0,,Private,No,No,www.bvcits.ac.in,Electronics & Communication,73.92923076923077,20.0,41.6,Affordable,Below Average,Not Ranked
Ramireddy Subbarami Reddy Engineering College,ELECTRONICS & COMMUNICATION ENGG,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0.0,,Private,No,No,www.rsrec.in,Electronics & Communication,69.36666666666667,20.0,39.7,Affordable,Below Average,Not Ranked
Gayatri Vidya Parishad College of Engineering for Women,ELECTRONICS & COMMUNICATION ENGG,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0.0,,Private,No,No,www.gvpcew.ac.i n,Electronics & Communication,33.980000000000004,20.0,25.6,Premium,Below Average,Not Ranked
Dhanekula Institute of Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,Gangur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",141981.81818181818,0.0,,Private,No,No,www.diet.ac.in,Electronics & Communication,71.60363636363637,20.0,40.6,Affordable,Below Average,Not Ranked
Geethanjali Institute of Science and Technology,ELECTRONICS & COMMUNICATION ENGG,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0.0,,Private,No,No,www.gist.edu.in,Electronics & Communication,67.91111111111111,20.0,39.2,Affordable,Below Average,Not Ranked
Sri Vasavi Engineering College,ELECTRONICS & COMMUNICATION ENGG,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac,Electronics & Communication,69.6470588235294,41.8,52.9,Affordable,Average,Not Ranked
